TOKEN	AVERAGE_ATTENTION	REP_POS	DIST_POS	N_OCCURRENCES_TEST	TRUEPOS	FALSEPOS	TRUENEG	FALSENEG
phrase	0.023482	0.003661	0.442524	21	13	5	2	1
que	0.023302	0.244051	0.186977	2098	769	563	575	191
france	0.023290	0.022880	-0.163961	385	55	49	253	28
continue	0.023284	0.005186	0.163786	39	15	8	13	3
souvent	0.023198	0.007016	0.481206	36	19	3	9	5
service	0.023161	0.004576	0.040442	44	11	5	23	5
défense	0.022966	0.004881	-0.157114	83	10	10	56	7
sociaux	0.022916	0.003966	-0.119731	54	10	12	28	4
d'autres	0.022909	0.006406	0.135343	50	14	4	24	8
suivre	0.022907	0.001220	-0.324006	33	2	2	27	2
regarder	0.022861	0.004881	0.220499	33	14	4	13	2
financer	0.022859	0.000915	-0.315782	30	1	0	26	3
con	0.022845	0.003051	0.092110	28	8	8	10	2
choses	0.022761	0.004881	0.049883	45	12	11	17	5
1ère	0.022660	0.002441	-0.134862	33	8	2	23	0
may	0.022610	0.002441	-0.455230	297	2	3	285	7
paye	0.022593	0.002746	-0.134862	39	7	11	19	2
groupe	0.022569	0.001220	-0.288979	29	1	11	14	3
soir	0.022513	0.008542	-0.160081	122	24	17	77	4
commun	0.022483	0.001220	-0.280357	31	2	4	22	3
personnes	0.022376	0.006101	-0.074556	74	16	22	31	5
lieu	0.022330	0.010372	0.221809	72	28	8	29	7
d'accord	0.022275	0.004881	0.159361	38	15	8	12	3
cherche	0.022223	0.003661	0.213162	29	11	7	10	1
club	0.022169	0.001830	-0.229434	35	4	11	17	3
journal	0.022167	0.003966	-0.119731	56	9	3	39	5
selon	0.022026	0.007932	-0.039151	90	16	16	47	11
e	0.021998	0.005796	-0.096485	75	14	14	42	5
premier	0.021976	0.004576	-0.193470	83	11	10	57	5
ci	0.021922	0.004271	0.271446	27	9	8	5	5
shnek	0.021838	0.001525	-0.197910	33	4	10	15	4
aussi	0.021769	0.050641	0.236650	355	146	77	102	30
un	0.021739	0.255339	0.147866	2389	858	526	822	183
qui	0.021717	0.202868	0.129818	1900	688	427	647	138
l'équipe	0.021671	0.000610	-0.412273	34	2	5	27	0
liberté	0.021661	0.008542	0.044327	101	25	23	41	12
code	0.021636	0.001220	-0.194592	22	2	5	13	2
se	0.021634	0.102196	0.170933	826	297	170	291	68
nom	0.021625	0.007322	0.213162	55	22	9	19	5
entre	0.021594	0.014948	-0.058276	175	43	38	83	11
of	0.021590	0.000610	-0.405068	28	0	4	22	2
fonds	0.021587	0.000610	-0.408795	40	0	3	34	3
d'avoir	0.021448	0.005186	-0.008766	53	12	13	23	5
ailleurs	0.021410	0.002441	0.063288	23	7	4	11	1
avez	0.021369	0.006406	0.097930	55	15	15	18	7
beau	0.021322	0.005796	-0.063933	66	19	11	35	1
elles	0.021285	0.015253	0.214326	125	48	31	34	12
l'on	0.021276	0.005796	0.224026	40	17	8	12	3
gauche	0.021264	0.003356	-0.097034	44	9	7	26	2
quand	0.021262	0.067724	0.221903	526	207	114	160	45
chef	0.021143	0.003356	0.103319	30	10	7	11	2
centaine	0.021066	0.001220	-0.047565	21	2	0	15	4
l'islam	0.020925	0.001220	-0.194592	21	3	4	13	1
inclusive	0.020924	0.002135	-0.008766	22	5	6	9	2
brigitte	0.020866	0.003356	0.081302	35	11	12	11	1
bad	0.020759	0.001830	-0.035313	22	5	3	13	1
face	0.020712	0.004881	-0.231633	105	14	18	70	3
mort	0.020685	0.005491	0.151160	43	15	11	14	3
action	0.020575	0.002135	-0.305462	66	3	4	55	4
mr	0.020479	0.002746	0.167768	22	8	8	5	1
parle	0.020341	0.018304	0.126209	152	49	31	60	12
ministre	0.020322	0.007322	-0.222625	157	20	14	114	9
condamné	0.020217	0.002746	0.010633	30	9	4	16	1
mère	0.020171	0.010677	0.289278	70	30	13	20	7
associations	0.020166	0.000305	-0.454952	26	0	0	25	1
moment	0.020164	0.009457	0.208506	68	28	15	20	5
moral	0.020097	0.002746	0.167768	21	6	5	6	4
saint	0.020085	0.004576	0.117329	40	11	10	14	5
and	0.020050	0.001220	-0.238032	24	2	2	18	2
pense	0.020046	0.010372	0.316642	67	32	15	14	6
chimiques	0.020042	0.000000	-0.513150	23	0	0	23	0
discours	0.020021	0.004271	-0.171471	71	9	7	48	7
m	0.019927	0.003966	-0.055686	52	10	5	33	4
facebook	0.019895	0.004271	-0.218926	102	11	9	74	8
très	0.019827	0.020744	-0.025500	226	53	45	106	22
pied	0.019747	0.003356	0.152636	25	10	6	8	1
plusieurs	0.019689	0.003661	-0.022398	41	12	6	21	2
trump	0.019671	0.003966	-0.267263	101	8	10	78	5
dans	0.019652	0.146126	0.053099	1530	421	300	677	132
tribune	0.019563	0.003356	-0.257078	87	7	14	60	6
réseaux	0.019509	0.003966	-0.119731	51	9	8	30	4
qu'on	0.019456	0.027761	0.287412	187	83	53	38	13
écrit	0.019373	0.003356	0.180377	24	10	3	10	1
vraiment	0.019363	0.016168	0.133600	129	49	28	46	6
via	0.019309	0.020439	-0.279013	438	34	45	325	34
muller	0.019188	0.000915	-0.451806	104	1	1	100	2
député	0.019169	0.003966	0.273688	33	14	10	6	3
by	0.019050	0.001830	-0.229434	32	5	4	22	1
révèle	0.019028	0.002746	0.203605	22	10	5	6	1
lci	0.018997	0.002441	0.293863	25	9	4	7	5
j'ai	0.018935	0.037523	0.158754	303	101	73	98	31
rappelle	0.018934	0.002441	0.013163	25	6	5	12	2
affaires	0.018931	0.001830	-0.100472	26	4	6	14	2
plaisir	0.018929	0.002441	-0.008766	25	5	7	10	3
super	0.018928	0.004576	0.100289	39	12	9	14	4
d'agression	0.018793	0.003661	0.243425	24	8	5	7	4
n'était	0.018766	0.004271	0.334214	25	10	4	7	4
droite	0.018755	0.002441	-0.157114	41	6	14	19	2
par	0.018594	0.078707	-0.042797	938	211	151	500	76
poste	0.018483	0.003051	-0.054619	35	7	4	20	4
façon	0.018457	0.005491	0.265042	35	18	8	9	0
grosse	0.018419	0.007932	0.306473	51	26	12	10	3
d'emmanuel	0.018414	0.000000	-0.513150	27	0	2	25	0
justice	0.018411	0.010677	-0.008766	116	23	24	53	16
mari	0.018410	0.005796	0.224026	43	17	8	16	2
pierre	0.018402	0.002441	-0.109643	40	5	2	30	3
"<	0.018371	0.007016	0.057382	67	21	9	35	2
faudrait	0.018355	0.004576	0.327489	27	12	6	6	3
serait	0.018342	0.015863	0.298023	99	34	24	24	17
....	0.018282	0.010982	0.060254	124	35	31	46	12
joignez	0.018275	0.000305	-0.452624	25	0	1	23	1
",	0.018261	0.016168	-0.099763	239	54	37	139	9
nouvelles	0.018254	0.001220	-0.210520	25	1	5	16	3
gueule	0.018012	0.006406	0.122373	57	20	8	26	3
valeurs	0.017946	0.004576	-0.084900	53	13	7	31	2
